20
Device Source:1001	USB2+H14197
Integration Begin:1002	350,00
Integration End:1003	800,00
Method:1004	Uses the classic Rectangular method for integration.
Moles of Photons:1013	1,7589E-12
PAR uMoles/m²/sec:1015	9,7114E2
PAR uMoles:1014	1,3924E-6
Photons/cm²/sec:1011	7,3875E16
Total Photons:1012	1,0592E12
dBm:1009	-1,5364E1
eV:1010	2,0708E12
uJoule/cm²:1007	2,6402E2
uJoule:1005	3,3177E-1
uWatt/cm²:1008	2,3140E4
uWatt:1006	2,9077E1

Data from actinica_AbsoluteIrradiance_10-09-15-540.txt Node
Date: Wed Jun 05 10:09:15 UYT 2019
User: fenotipado
Spectrometer: USB2+H14197
Trigger mode: 0
Integration Time (sec): 1,141000E-2
Scans to average: 1
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 0
XAxis mode: Wavelengths
385,841	-0,04
386,206	-0,13
386,571	0,63
386,936	0,15
387,301	0,42
387,666	-0,34
388,03	0,36
388,395	-0,04
388,76	0,45
389,124	0,44
389,489	1,03
389,853	0,46
390,218	0,24
390,582	0,17
390,947	-0,18
391,311	-0,02
391,675	1,09
392,04	0,51
392,404	0,67
392,768	0,56
393,132	0,38
393,497	0,13
393,861	0,98
394,225	0,8
394,589	1
394,953	0,64
395,317	0,72
395,681	1,15
396,045	0,5
396,409	1,46
396,772	0,8
397,136	1,3
397,5	1,58
397,864	1,16
398,227	1,67
398,591	1,86
398,955	1,7
399,318	1,26
399,682	1,67
400,045	1,64
400,409	1,96
400,772	1,97
401,135	2,19
401,499	1,82
401,862	2,42
402,225	2,24
402,589	2,41
402,952	2,45
403,315	2,5
403,678	2,21
404,041	2,29
404,404	2,41
404,767	3,09
405,13	2,66
405,493	2,52
405,856	2,77
406,219	2,61
406,582	2,27
406,944	3,26
407,307	3,12
407,67	2,82
408,033	3,58
408,395	2,82
408,758	2,71
409,12	3,1
409,483	3,44
409,845	3,6
410,208	3,04
410,57	3,48
410,933	4,18
411,295	3,7
411,657	3,69
412,019	4,21
412,382	4,11
412,744	4,27
413,106	4,19
413,468	4,11
413,83	3,93
414,192	4,53
414,554	4,46
414,916	3,94
415,278	4,17
415,64	4,73
416,002	5,24
416,364	4,75
416,725	4,9
417,087	4,72
417,449	4,62
417,81	4,43
418,172	4,48
418,534	4,84
418,895	4,64
419,257	4,74
419,618	5,29
419,98	4,84
420,341	4,57
420,702	4,44
421,064	5,16
421,425	4,53
421,786	5,3
422,147	5,15
422,509	5,32
422,87	5,43
423,231	5,15
423,592	5,28
423,953	5,36
424,314	5,34
424,675	5,98
425,036	6,25
425,396	5,69
425,757	5,4
426,118	6,21
426,479	6,15
426,839	5,95
427,2	6,11
427,561	7,11
427,921	6,36
428,282	6,53
428,642	6,09
429,003	6,63
429,363	6,73
429,724	6,68
430,084	6,35
430,444	7,02
430,805	6,7
431,165	6,33
431,525	6,8
431,885	6,49
432,245	6,35
432,606	6,92
432,966	7,08
433,326	7,45
433,686	6,79
434,046	7,1
434,405	7,76
434,765	7,47
435,125	6,97
435,485	7,73
435,845	7,33
436,204	8,11
436,564	7,24
436,924	7,64
437,283	7,72
437,643	7,69
438,002	7,74
438,362	7,62
438,721	8,78
439,081	7,97
439,44	8,95
439,799	8,72
440,159	8,69
440,518	7,98
440,877	9,46
441,236	8,31
441,595	8,32
441,954	8,45
442,314	9,27
442,673	9,09
443,032	9,15
443,39	8,73
443,749	8,91
444,108	8,74
444,467	8,93
444,826	9,14
445,185	9,39
445,543	9,34
445,902	8,22
446,261	9,02
446,619	9,83
446,978	9,77
447,336	9,16
447,695	9,75
448,053	9,3
448,412	9,55
448,77	9,53
449,128	10,18
449,486	9,87
449,845	10,21
450,203	10,28
450,561	10,45
450,919	10,71
451,277	10,85
451,635	10,4
451,993	11,56
452,351	10,78
452,709	11,3
453,067	11,16
453,425	11,35
453,783	11,58
454,141	11,35
454,498	12,07
454,856	11,61
455,214	12,31
455,571	12,59
455,929	11,06
456,286	11,87
456,644	12,33
457,001	12,97
457,359	12,32
457,716	12,54
458,073	12,7
458,431	12,61
458,788	12,55
459,145	12,74
459,502	13,3
459,86	12,72
460,217	13,14
460,574	12,86
460,931	13,76
461,288	13,38
461,645	13,63
462,002	13,97
462,358	14,06
462,715	13,19
463,072	14,38
463,429	13,5
463,786	14,18
464,142	13,53
464,499	13,45
464,855	13,77
465,212	13,66
465,569	14,43
465,925	13,83
466,281	13,81
466,638	14,32
466,994	14,34
467,35	14,28
467,707	13,99
468,063	14,86
468,419	13,51
468,775	13,81
469,131	14,37
469,488	14,91
469,844	14,91
470,2	15,29
470,556	14,36
470,911	15,55
471,267	15,64
471,623	15,27
471,979	15,16
472,335	15,4
472,69	16,1
473,046	16,96
473,402	16,3
473,757	16,35
474,113	17,52
474,469	17,48
474,824	17,15
475,179	17,52
475,535	17,39
475,89	17,73
476,246	17,78
476,601	18,27
476,956	17,96
477,311	18,64
477,666	18,41
478,022	18,16
478,377	18,21
478,732	18,68
479,087	18,99
479,442	18,41
479,797	19,34
480,151	18,87
480,506	19,03
480,861	19,22
481,216	19,69
481,571	19,44
481,925	19,4
482,28	19,04
482,635	20,54
482,989	19,85
483,344	20,18
483,698	19,72
484,053	20,19
484,407	20,21
484,761	20,31
485,116	20,45
485,47	20,21
485,824	20,39
486,178	20,44
486,533	20,28
486,887	21,09
487,241	20,28
487,595	21,33
487,949	21,24
488,303	21,22
488,657	21,31
489,011	21,23
489,364	21,9
489,718	22,22
490,072	21,82
490,426	22,05
490,779	22,25
491,133	23,6
491,487	22,38
491,84	23,24
492,194	22,67
492,547	23,08
492,901	24,37
493,254	23,04
493,607	23,64
493,961	23,58
494,314	23,91
494,667	24,05
495,02	24,83
495,374	24,36
495,727	24,39
496,08	24,7
496,433	25,23
496,786	25,22
497,139	25,01
497,492	25,31
497,845	25,58
498,197	25,55
498,55	25,68
498,903	25,33
499,256	26,24
499,608	25,65
499,961	26,13
500,313	26,8
500,666	26,62
501,019	26,62
501,371	26,71
501,723	27,55
502,076	27,21
502,428	27,11
502,78	27,74
503,133	27,72
503,485	27,9
503,837	27,55
504,189	27,69
504,541	27,81
504,893	27,75
505,245	28,22
505,597	27,76
505,949	28,36
506,301	28,24
506,653	28,54
507,005	28,36
507,357	28,82
507,708	28,93
508,06	27,91
508,412	29,43
508,763	28,72
509,115	29,3
509,466	29,12
509,818	29,39
510,169	29,47
510,521	28,78
510,872	29,35
511,223	30,16
511,575	29,81
511,926	29,58
512,277	30,41
512,628	30,26
512,979	30,77
513,33	30,24
513,681	31,01
514,032	31,11
514,383	31,55
514,734	31,99
515,085	31,88
515,436	31,65
515,787	32,1
516,138	32,52
516,488	32,62
516,839	33,04
517,19	33,35
517,54	34,2
517,891	34,17
518,241	34,74
518,592	34,54
518,942	34,81
519,292	34,2
519,643	35,02
519,993	35
520,343	35,01
520,693	36,12
521,044	35,24
521,394	36,24
521,744	35,7
522,094	36,47
522,444	35,96
522,794	36,12
523,144	35,7
523,494	35,96
523,843	36,59
524,193	36,81
524,543	36,4
524,893	37,38
525,242	36,8
525,592	36,9
525,942	36,77
526,291	36,84
526,641	36,85
526,99	37,14
527,34	36,8
527,689	36,65
528,038	36,33
528,388	37,18
528,737	37,64
529,086	37,27
529,435	37,57
529,784	37,61
530,133	37,65
530,482	38,27
530,831	37,93
531,18	37,87
531,529	39,29
531,878	39,04
532,227	39,49
532,576	38,94
532,925	40,7
533,273	40,47
533,622	40,33
533,971	39,85
534,319	41,27
534,668	42,13
535,016	41,8
535,365	41,88
535,713	42,81
536,061	43,02
536,41	43,94
536,758	44,36
537,106	44,11
537,454	44,93
537,803	45,36
538,151	44,87
538,499	45,39
538,847	44,58
539,195	46,1
539,543	45,61
539,891	45,6
540,239	46,03
540,586	47,12
540,934	47,01
541,282	46,92
541,63	47,45
541,977	47,14
542,325	47,95
542,672	47,63
543,02	47,96
543,367	47,94
543,715	48,39
544,062	48,19
544,41	48,08
544,757	49,47
545,104	49,32
545,452	48,5
545,799	49,39
546,146	48,82
546,493	49,23
546,84	49,98
547,187	49,98
547,534	50,6
547,881	50,64
548,228	50,9
548,575	51,74
548,922	50,99
549,268	52,14
549,615	51,36
549,962	52,03
550,308	52,51
550,655	52,17
551,002	53,02
551,348	52,57
551,695	52,6
552,041	53,45
552,387	54,21
552,734	53,86
553,08	54,19
553,426	53,8
553,772	54,36
554,119	54,06
554,465	54,89
554,811	54,53
555,157	55,16
555,503	55,19
555,849	55,57
556,195	55,18
556,541	56,13
556,886	56,87
557,232	55,94
557,578	55,91
557,924	56,12
558,269	57,04
558,615	56,85
558,961	57,79
559,306	58,25
559,652	57,63
559,997	58,31
560,342	58,55
560,688	59,81
561,033	59,74
561,378	59,71
561,724	60,17
562,069	59,99
562,414	60,64
562,759	60,76
563,104	61,04
563,449	61,78
563,794	61,4
564,139	60,81
564,484	61,92
564,829	61,65
565,174	62,3
565,518	62,8
565,863	63,34
566,208	63,19
566,552	62,63
566,897	62,85
567,242	63,31
567,586	64,12
567,931	64,03
568,275	63,54
568,619	63,2
568,964	64,81
569,308	64,41
569,652	65,17
569,996	64,86
570,341	65,59
570,685	65,49
571,029	66,71
571,373	66,36
571,717	66,49
572,061	66,52
572,405	66,4
572,748	67,2
573,092	66,53
573,436	67,57
573,78	67,12
574,123	67,59
574,467	67,9
574,811	68,45
575,154	68,89
575,498	70,11
575,841	68,89
576,185	69,58
576,528	68,75
576,871	70,13
577,215	70,55
577,558	70,09
577,901	71,29
578,244	70,71
578,587	70,45
578,93	70,73
579,274	70,42
579,616	70,17
579,959	71,41
580,302	71,05
580,645	71,11
580,988	71,17
581,331	72,72
581,674	72,26
582,016	73,03
582,359	71,64
582,701	72,8
583,044	71,96
583,387	72,49
583,729	72,22
584,071	73,01
584,414	73,35
584,756	74,21
585,098	73,29
585,441	73,68
585,783	74,19
586,125	73,38
586,467	74,39
586,809	74,21
587,151	74,63
587,493	75,85
587,835	74,98
588,177	74,98
588,519	76,7
588,861	76,55
589,202	76,42
589,544	77,8
589,886	77,87
590,228	77,57
590,569	78,91
590,911	78,61
591,252	79,07
591,594	78,54
591,935	79,37
592,276	79,85
592,618	81,4
592,959	80,35
593,3	80,58
593,641	81,3
593,983	81,2
594,324	82,16
594,665	82,66
595,006	83,7
595,347	83,81
595,688	84,16
596,029	83,99
596,369	85,47
596,71	85,03
597,051	84,79
597,392	86,43
597,732	87,53
598,073	87,86
598,414	86,75
598,754	87,45
599,095	87,92
599,435	88,95
599,775	87,63
600,116	89,03
600,456	88,87
600,796	91,04
601,137	90,63
601,477	90,22
601,817	90,53
602,157	91,38
602,497	92,53
602,837	90,83
603,177	92,44
603,517	91,82
603,857	91,55
604,197	91,48
604,536	91,53
604,876	92,36
605,216	91,78
605,555	92,85
605,895	92,74
606,235	92,79
606,574	93,31
606,914	92,14
607,253	92,81
607,592	94,03
607,932	94,1
608,271	94,42
608,61	94,31
608,949	93,82
609,289	95,36
609,628	95,18
609,967	97,18
610,306	96,41
610,645	96,6
610,984	95,42
611,323	95,99
611,661	96,2
612	95,73
612,339	96,67
612,678	96,81
613,016	98,1
613,355	97,39
613,694	97,16
614,032	98,72
614,371	97,45
614,709	98,32
615,047	97,6
615,386	98,51
615,724	99,96
616,062	99,9
616,401	98,66
616,739	99,74
617,077	99,71
617,415	99,6
617,753	99,2
618,091	101,89
618,429	99,93
618,767	101,61
619,105	100,47
619,443	102,66
619,78	102,55
620,118	101,23
620,456	103,07
620,793	102,36
621,131	101,91
621,468	102,89
621,806	103,72
622,143	102,77
622,481	104,35
622,818	104,94
623,156	104,33
623,493	105,42
623,83	106,03
624,167	105,06
624,504	104,71
624,841	105,99
625,178	105,19
625,515	105,44
625,852	106,65
626,189	107,36
626,526	106,68
626,863	106,94
627,2	107,56
627,537	107,56
627,873	108,32
628,21	107,21
628,546	109,93
628,883	108,04
629,22	109,76
629,556	110,5
629,892	109,88
630,229	109,72
630,565	109,66
630,901	110,58
631,238	111,4
631,574	112,77
631,91	112,77
632,246	111,01
632,582	111,58
632,918	113,05
633,254	113,22
633,59	111,96
633,926	113,64
634,262	112,86
634,597	112,61
634,933	114,84
635,269	114,64
635,604	115,29
635,94	114,84
636,276	114,52
636,611	115,9
636,947	117,59
637,282	114,99
637,617	116,93
637,953	116,71
638,288	115
638,623	117,73
638,958	118,85
639,294	118,42
639,629	119,63
639,964	120,75
640,299	119,19
640,634	119,28
640,969	121,2
641,303	120,79
641,638	120,36
641,973	120,39
642,308	121,1
642,642	120,69
642,977	121,21
643,312	121,07
643,646	122,16
643,981	123,88
644,315	121,42
644,65	123,01
644,984	122,65
645,318	123,58
645,653	123,18
645,987	123,09
646,321	122,89
646,655	124,71
646,989	123,49
647,323	124,92
